type,vmag,bmag,ra,de,smax,smin,angl,morp,snam,ids
OpC,1.59375,nan,56.74999958707038,24.1166995724708,1.8333320562580218,1.8333320562580218,0.0,,Pleiades,NAME Pleiades|NAME Seven Sisters|NAME Subaru|M 45|Cl Melotte 22|OCl 421.0
G,3.4375,4.34375,10.684708244139424,41.26875087092844,2.9638103261650977,1.160995555118691,34.91461564078224,SA(s)b ,M 31,NAME Andromeda Nebula|M 31|NAME Andromeda Galaxy|NAME Great Nebula in Andromeda|NGC 224|UGC 454|PGC 2557|MCG+07-02-016
OpC,3.796875,4.375,35.595800651991325,57.12500087816615,0.17499969181947017,0.17499969181947017,nan,,χ Persei,NAME Double Cluster|NAME χ Persei|NGC 884|Cl Collinder 25|Cl Melotte 14|OCl 353.0|OCl 353
OpC,5.1875,5.34375,40.52080076058249,42.761700449898896,0.3749978760011854,0.3749978760011854,nan,,M 34,M 34|NAME Spiral Cluster|NGC 1039|OCl 382
OpC,5.6875,6.46875,29.420800793207036,37.784999224385324,0.6499881221750506,0.6499881221750506,nan,,C 28,C 28|NGC 752|Cl Melotte 12|OCl 363
GiG,5.71875,6.25,23.462099365058698,30.65994054261984,1.0348283007702237,0.6121625345515225,22.940692969103715,SA(s)cd ,M 33,M 33|NAME Triangulum Galaxy|NAME Triangulum Pinwheel|NAME Pinwheel Galaxy|NAME Triangulum Nebula|NGC 598|UGC 1117|PGC 5818|MCG+05-04-069
HII,6.0,5.0,60.824999728926436,36.42170029624004,2.6666151349995224,0.6666537837498806,124.43927112996748,,NGC 1499,NAME California Nebula|NGC 1499|SH 2-220
OpC,6.375,6.6875,82.1791968481872,35.85499950080412,0.15999718130753815,0.15999718130753815,nan,,M 38,M 38|NAME Starfish Cluster|NGC 1912|OCl 433.0
OpC,6.375,6.8125,63.84580115352612,51.214998698799995,0.15999718130753815,0.15999718130753815,nan,,NGC 1528,NAME m & m Double Cluster|NGC 1528|OCl 397.0
OpC,6.375,6.96875,19.89579975975411,58.286703357863935,0.12999899047284413,0.12999899047284413,nan,,C 13,C 13|NAME Dragonfly Cluster|NAME Owl Cluster|NAME E.T. Cluster|NGC 457|OCl 321|OCl 321.0
OpC,6.5,6.84375,42.77700007363973,60.40999743495649,0.6666537837498806,0.16666344593747015,nan,,Soul Nebula,NAME Soul Nebula|IC 1848|Cl Collinder 32|SH 2-199|OCl 364|OCl 364.0
OpC,6.5,7.0,38.174999610898446,61.45000301911758,0.999994336003161,0.999994336003161,nan,,Heart Nebula,NAME Heart Nebula|NAME The Running Dog Nebula|NAME Valentine Nebula|NAME AFGL 333 Cloud|IC 1805|Cl Collinder 26|SH 2-190|Cl Melotte 15|OCl 352
OpC,6.5,7.3125,7.50000020870602,60.21830134571092,0.08999969514595958,0.08999969514595958,nan,,NGC 129,NGC 129|OCl 294
OpC,6.5,7.3125,25.99999958514934,61.884997276788155,0.1049987905633066,0.1049987905633066,nan,,NGC 654,NAME Fuzzy Butterfly Cluster|NGC 654|OCl 330|OCl 330.0
OpC,6.59375,7.03125,57.349000347091284,52.640001555907176,0.05999979676397306,0.05999979676397306,nan,,NGC 1444,NGC 1444|OCl 394.0|OCl 394
